"","hgnc_symbol","entrez_gene_id","gene_biotype","percentage_gc_content","transcript_count","chromosome_name","start_position","end_position","strand","cds_length","three_prime_utr_length","transcription_factor","transcription_cofactor","chromatin_remodeller","plasma_membrane","apoptosis","cell_cycle_phase"
"ENSG00000000003","TSPAN6",7105,"protein_coding",40.4,5,"X",100627109,100639991,-1,411,NA,NA,FALSE,FALSE,FALSE,FALSE,"G0"
"ENSG00000000419","DPM1",8813,"protein_coding",39.85,6,"20",50934867,50958555,-1,864,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000000457","SCYL3",57147,"protein_coding",40.14,5,"1",169849631,169894267,-1,2229,638,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000000460","C1orf112",55732,"protein_coding",39.22,9,"1",169662007,169854080,1,1593,49,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000000938","FGR",2268,"protein_coding",52.97,7,"1",27612064,27635277,-1,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,NA
"ENSG00000000971","CFH",3075,"protein_coding",35.2,6,"1",196651878,196747504,1,1158,233,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000001036","FUCA2",2519,"protein_coding",39.69,3,"6",143494811,143511690,-1,330,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000001084","GCLC",2729,"protein_coding",40.16,13,"6",53497341,53616970,-1,463,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000001167","NFYA",4800,"protein_coding",40,2,"6",41072945,41099976,1,957,539,"NF-YA",FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000001460","STPG1",90529,"protein_coding",44.09,12,"1",24356999,24416934,-1,1005,1543,NA,FALSE,FALSE,FALSE,TRUE,NA
"ENSG00000001461","NIPAL3",57185,"protein_coding",45,7,"1",24415794,24472976,1,1107,220,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000001497","LAS1L",81887,"protein_coding",50.45,5,"X",65512582,65534775,-1,2154,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000001561","ENPP4",22875,"protein_coding",36.06,1,"6",46129993,46146699,1,1362,3058,NA,FALSE,FALSE,TRUE,FALSE,"G0"
"ENSG00000001626","CFTR",1080,"protein_coding",36.59,11,"7",117465784,117715971,1,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,NA
"ENSG00000001629","ANKIB1",54467,"protein_coding",36.77,7,"7",92246234,92401384,1,487,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000001630","CYP51A1",1595,"protein_coding",39.91,5,"7",92112151,92142952,-1,667,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000001631","KRIT1",889,"protein_coding",36.48,25,"7",92198969,92246166,-1,2211,1766,NA,FALSE,FALSE,TRUE,FALSE,NA
"ENSG00000002016","RAD52",5893,"protein_coding",45.17,20,"12",912077,990053,-1,420,227,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000002079","MYH16",NA,"unitary_pseudogene",49.9,7,"7",99238794,99311130,1,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000002330","BAD",572,"protein_coding",53.92,7,"11",64269830,64284704,-1,153,NA,NA,FALSE,FALSE,FALSE,TRUE,NA
"ENSG00000002549","LAP3",51056,"protein_coding",44.17,11,"4",17577192,17607972,1,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000002586","CD99",4267,"protein_coding",47.39,12,"X",2691179,2741309,1,483,9,NA,FALSE,FALSE,TRUE,FALSE,NA
"ENSG00000002587","HS3ST1",9957,"protein_coding",43.92,3,"4",11393150,11429765,-1,924,5931,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000002726","AOC1",26,"protein_coding",47.8,9,"7",150824627,150861504,1,2256,294,NA,FALSE,FALSE,TRUE,FALSE,NA
"ENSG00000002745","WNT16",51384,"protein_coding",38.61,2,"7",121325367,121341104,1,1068,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000002746","HECW1",23072,"protein_coding",42.03,11,"7",43112599,43566001,1,4821,4074,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000002822","MAD1L1",8379,"protein_coding",55.65,23,"7",1815793,2233243,-1,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000002834","LASP1",3927,"protein_coding",53.69,9,"17",38869859,38921770,1,216,103,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000002919","SNX11",29916,"protein_coding",48,13,"17",48103357,48123074,1,381,626,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000003056","M6PR",4074,"protein_coding",42.71,13,"12",8940363,8949955,-1,402,NA,NA,FALSE,FALSE,TRUE,FALSE,NA
"ENSG00000003096","KLHL13",90293,"protein_coding",36.56,11,"X",117897813,118117340,-1,1920,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000003147","ICA1",3382,"protein_coding",40.3,18,"7",8113184,8262687,-1,264,41,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000003249","DBNDD1",79007,"protein_coding",59.39,7,"16",90004865,90020128,-1,477,1469,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000003393","ALS2",57679,"protein_coding",38.06,12,"2",201700554,201781189,-1,1756,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000003400","CASP10",843,"protein_coding",42.31,13,"2",201182881,201229406,1,744,225,NA,FALSE,FALSE,TRUE,TRUE,NA
"ENSG00000003402","CFLAR",8837,"protein_coding",44.35,25,"2",201116104,201176687,1,666,NA,NA,FALSE,FALSE,TRUE,TRUE,NA
"ENSG00000003436","TFPI",7035,"protein_coding",36.6,13,"2",187464230,187565760,-1,184,NA,NA,FALSE,FALSE,TRUE,FALSE,"G0"
"ENSG00000003509","NDUFAF7",55471,"protein_coding",38.97,13,"2",37231631,37253403,1,414,58,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000003756","RBM5",10181,"protein_coding",44.45,26,"3",50088908,50119021,1,171,160,NA,FALSE,FALSE,FALSE,TRUE,NA
"ENSG00000003987","MTMR7",9108,"protein_coding",40.36,9,"8",17298030,17413528,-1,318,16,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000003989","SLC7A2",6542,"protein_coding",40.13,5,"8",17497088,17570573,1,2094,NA,NA,FALSE,FALSE,TRUE,FALSE,NA
"ENSG00000004059","ARF5",381,"protein_coding",56.5,6,"7",127588345,127591705,1,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,NA
"ENSG00000004139","SARM1",23098,"protein_coding",51.55,8,"17",28364356,28404049,1,355,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000004142","POLDIP2",26073,"protein_coding",50.16,2,"17",28347177,28357522,-1,1107,NA,NA,FALSE,FALSE,FALSE,FALSE,NA
"ENSG00000004399","PLXND1",23129,"protein_coding",58.39,17,"3",129555175,129606818,-1,168,290,NA,FALSE,FALSE,TRUE,FALSE,NA
